Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Orange (Crayola),https://en.wikipedia.org/wiki/Shades_of_orange#Orange_.28Crayola.29,#FF7538,100%,46%,22%,18°,100%,61%,78%,100%
Orange (Pantone),https://en.wikipedia.org/wiki/Shades_of_orange#Orange_.28Pantone.29,#FF5800,100%,35%,0%,21°,100%,50%,100%,100%
Orange (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#FB9902,98%,60%,1%,36°,98%,50%,99%,98%
Orange (web),https://en.wikipedia.org/wiki/Shades_of_orange#Orange_.28web_color.29,#FFA500,100%,65%,0%,39°,100%,50%,100%,100%
Orange peel,https://en.wikipedia.org/wiki/Shades_of_orange#Orange_peel,#FF9F00,100%,62%,0%,37°,100%,50%,100%,100%
Orange-red,https://en.wikipedia.org/wiki/Vermilion#Orange-red,#FF4500,100%,27%,0%,16°,100%,50%,100%,100%
Orange Soda,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FA5B3D,98%,36%,24%,10°,95%,61%,76%,98%
Orange-yellow,https://en.wikipedia.org/wiki/Marigold_(color)#Orange-yellow,#F8D568,97%,84%,41%,45°,91%,69%,58%,97%
Orchid,https://en.wikipedia.org/wiki/Orchid_(colour),#DA70D6,85%,44%,84%,302°,59%,65%,49%,85%
Orchid pink,https://en.wikipedia.org/wiki/Orchid_(colour)#Orchid_pink,#F2BDCD,95%,74%,80%,342°,67%,85%,22%,95%
Orioles orange,https://en.wikipedia.org/wiki/Shades_of_orange,#FB4F14,98%,31%,8%,15°,97%,53%,92%,98%
Otter brown,https://en.wikipedia.org/wiki/Brown#Otter_brown,#654321,40%,26%,13%,30°,51%,26%,67%,40%
Outer Space,https://en.wikipedia.org/wiki/Shades_of_black#Outer_space,#414A4C,25%,29%,30%,191°,8%,28%,14%,30%
Outrageous Orange,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons,#FF6E4A,100%,43%,29%,12°,100%,65%,71%,100%
Oxford Blue,https://en.wikipedia.org/wiki/Oxford_University,#002147,0%,13%,28%,212°,100%,14%,100%,28%
OU Crimson Red,https://en.wikipedia.org/wiki/Shades_of_red#OU_Crimson,#990000,60%,0%,0%,0°,100%,30%,100%,60%
Pacific Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#1CA9C9,11%,66%,79%,191°,76%,45%,86%,79%
Pakistan green,https://en.wikipedia.org/wiki/Shades_of_green#Pakistan_green,#006600,0%,40%,0%,120°,100%,20%,100%,40%
Palatinate blue,https://en.wikipedia.org/wiki/Palatinate_(colour)#Palatinate_Blue,#273BE2,15%,23%,89%,234°,76%,52%,83%,89%
Palatinate purple,https://en.wikipedia.org/wiki/Palatinate_(colour)#Palatinate_Purple,#682860,41%,16%,38%,308°,44%,28%,62%,41%
Pale aqua,https://en.wikipedia.org/wiki/Aqua_(color)#Pale_aqua,#BCD4E6,74%,83%,90%,206°,46%,82%,18%,90%
Pale blue,https://en.wikipedia.org/wiki/Pale_blue,#AFEEEE,69%,93%,93%,180°,65%,81%,26%,93%
Pale brown,https://en.wikipedia.org/wiki/Brown#Pale_brown,#987654,60%,46%,33%,30°,29%,46%,45%,60%
Pale carmine,https://en.wikipedia.org/wiki/Pale_carmine,#AF4035,69%,25%,21%,5°,54%,45%,70%,69%
Pale cerulean,https://en.wikipedia.org/wiki/Cerulean#Pale_cerulean,#9BC4E2,61%,77%,89%,205°,55%,75%,31%,89%
Pale chestnut,https://en.wikipedia.org/wiki/Pale_chestnut,#DDADAF,87%,68%,69%,358°,41%,77%,22%,87%
Pale copper,https://en.wikipedia.org/wiki/Copper_(color)#Pale_copper,#DA8A67,85%,54%,40%,18°,61%,63%,53%,85%
Pale cornflower blue,https://en.wikipedia.org/wiki/Pale_cornflower_blue,#ABCDEF,67%,80%,94%,210°,68%,80%,28%,94%
Pale cyan,https://en.wikipedia.org/wiki/Cyan,#87D3F8,53%,83%,97%,200°,89%,75%,46%,97%
Pale gold,https://en.wikipedia.org/wiki/Gold_(color)#Pale_gold,#E6BE8A,90%,75%,54%,34°,65%,72%,40%,90%
Pale goldenrod,https://en.wikipedia.org/wiki/Goldenrod_(color)#Light_goldenrod,#EEE8AA,93%,91%,67%,55°,67%,80%,29%,93%
Pale green,https://en.wikipedia.org/wiki/Shades_of_green#Mint_green,#98FB98,60%,98%,60%,120°,93%,79%,39%,98%
Pale lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Pale_lavender,#DCD0FF,86%,82%,100%,255°,100%,91%,18%,100%
Pale magenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Pale_magenta_.28light_fuchsia_pink.29,#F984E5,98%,52%,90%,310°,91%,75%,47%,98%
Pale magenta-pink,,#FF99CC,100%,60%,80%,330°,100%,80%,40%,100%
Pale pink,https://en.wikipedia.org/wiki/Shades_of_pink#Pale_pink,#FADADD,98%,85%,87%,354°,76%,92%,13%,98%
Pale plum,https://en.wikipedia.org/wiki/Plum_(color)#Pale_plum,#DDA0DD,87%,63%,87%,300°,47%,75%,28%,87%
Pale red-violet,https://en.wikipedia.org/wiki/Red-violet#Pale_red-violet,#DB7093,86%,44%,58%,340°,60%,65%,49%,86%
Pale robin egg blue,https://en.wikipedia.org/wiki/Robin_egg_blue#Pale_robin_egg_blue,#96DED1,59%,87%,82%,169°,52%,73%,32%,87%
Pale silver,https://en.wikipedia.org/wiki/Silver_(color)#Pale_silver,#C9C0BB,79%,75%,73%,21°,11%,76%,7%,79%
Pale spring bud,https://en.wikipedia.org/wiki/Spring_bud#Pale_spring_bud,#ECEBBD,93%,92%,74%,59°,55%,83%,20%,93%
Pale taupe,https://en.wikipedia.org/wiki/Taupe#Pale_taupe_.28mouse.29,#BC987E,74%,60%,49%,25°,32%,62%,33%,74%
Pale turquoise,https://en.wikipedia.org/wiki/Turquoise_(color)#Pale_turquoise,#AFEEEE,69%,93%,93%,180°,65%,81%,26%,93%
Pale violet,https://en.wikipedia.org/wiki/Shades_of_violet,#CC99FF,80%,60%,100%,270°,100%,80%,40%,100%
Pale violet-red,https://en.wikipedia.org/wiki/Red-violet,#DB7093,86%,44%,58%,340°,60%,65%,49%,86%
Palm Leaf,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#6F9940,51%,56%,52%,88°,5%,53%,58%,60%
Pansy purple,https://en.wikipedia.org/wiki/Shades_of_purple#Pansy_purple,#78184A,47%,9%,29%,329°,67%,28%,80%,47%
Paolo Veronese green,https://en.wikipedia.org/wiki/Viridian#Paolo_Veronese_green,#009B7D,0%,61%,49%,168°,100%,30%,100%,61%
Papaya whip,https://en.wikipedia.org/wiki/Shades_of_orange#Papaya_whip,#FFEFD5,100%,94%,84%,37°,100%,92%,16%,100%
Paradise pink,https://en.wikipedia.org/wiki/Variations_of_pink#Paradise_pink,#E63E62,90%,24%,38%,347°,77%,57%,73%,90%
Paris Green,https://en.wikipedia.org/wiki/Paris_Green,#50C878,31%,78%,47%,140°,52%,55%,60%,78%
Parrot Pink,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#D998A0,85%,60%,63%,353°,46%,72%,30%,85%
Pastel blue,https://en.wikipedia.org/wiki/Blue#Pastel_blue,#AEC6CF,68%,78%,81%,196°,26%,75%,16%,81%
Pastel brown,https://en.wikipedia.org/wiki/Brown#Pastel_brown,#836953,51%,41%,33%,28°,22%,42%,37%,51%
Pastel gray,https://en.wikipedia.org/wiki/Grey#Pastel_gray,#CFCFC4,81%,81%,77%,60°,10%,79%,5%,81%
Pastel green,https://en.wikipedia.org/wiki/Pastel_green,#77DD77,47%,87%,47%,120°,60%,67%,46%,87%
Pastel magenta,https://en.wikipedia.org/wiki/Magenta#Pastel_magenta,#F49AC2,96%,60%,76%,333°,80%,78%,37%,96%
Pastel orange,https://en.wikipedia.org/wiki/Orange_(colour)#Pastel_orange,#FFB347,100%,70%,28%,35°,100%,64%,72%,100%
Pastel pink,https://en.wikipedia.org/wiki/Shades_of_pink#Pastel_pink,#DEA5A4,87%,65%,64%,1°,47%,76%,26%,87%
Pastel purple,https://en.wikipedia.org/wiki/Purple#Pastel_purple,#B39EB5,70%,62%,71%,295°,13%,66%,13%,71%
Pastel red,https://en.wikipedia.org/wiki/Shades_of_red#Pastel_red,#FF6961,100%,41%,38%,3°,100%,69%,62%,100%
Pastel violet,https://en.wikipedia.org/wiki/Violet_(color)#Pastel_violet,#CB99C9,80%,60%,79%,302°,32%,70%,25%,80%
Pastel yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Pastel_yellow,#FDFD96,99%,99%,59%,60°,96%,79%,41%,99%
Patriarch,https://en.wikipedia.org/wiki/Shades_of_purple#Purple_.28HTML.2FCSS_color.29_.28patriarch.29,#800080,50%,0%,50%,300°,100%,25%,100%,50%
Payne's grey,https://en.wikipedia.org/wiki/Payne%27s_grey,#536878,33%,41%,47%,206°,18%,40%,31%,47%
Peach,https://en.wikipedia.org/wiki/Peach_(color),#FFE5B4,100%,90%,71%,39°,100%,85%,29%,100%
Peach,https://en.wikipedia.org/wiki/Peach_(color)#Deep_peach,#FFCBA4,100%,80%,64%,26°,100%,82%,36%,100%
Peach-orange,https://en.wikipedia.org/wiki/Peach_(color)#Peach-orange,#FFCC99,100%,80%,60%,30°,100%,80%,40%,100%
Peach puff,https://en.wikipedia.org/wiki/Peach_(color)#Peach_puff,#FFDAB9,100%,85%,73%,28°,100%,86%,27%,100%
Peach-yellow,https://en.wikipedia.org/wiki/Peach_(color)#Peach-yellow,#FADFAD,98%,87%,68%,39°,89%,83%,31%,98%
Pear,https://en.wikipedia.org/wiki/Chartreuse_(color)#Pear,#D1E231,82%,89%,19%,66°,75%,54%,78%,89%
Pearl,https://en.wikipedia.org/wiki/Pearl_(color),#EAE0C8,92%,88%,78%,42°,45%,85%,15%,92%
Pearl Aqua,https://en.wikipedia.org/wiki/Aqua_(color),#88D8C0,53%,85%,75%,162°,51%,69%,37%,85%
Pearly purple,https://en.wikipedia.org/wiki/Shades_of_purple#Pearly_purple,#B768A2,72%,41%,64%,316°,35%,56%,43%,72%
Peridot,https://en.wikipedia.org/wiki/Peridot,#E6E200,90%,89%,0%,59°,100%,45%,100%,90%
Periwinkle,https://en.wikipedia.org/wiki/Periwinkle_(color),#CCCCFF,80%,80%,100%,240°,100%,90%,20%,100%
Permanent Geranium Lake,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#E12C2C,88%,17%,17%,0°,75%,53%,80%,88%
Persian blue,https://en.wikipedia.org/wiki/Persian_blue,#1C39BB,11%,22%,73%,229°,74%,42%,85%,73%
Persian green,https://en.wikipedia.org/wiki/Shades_of_green#Persian_green,#00A693,0%,65%,58%,173°,100%,33%,100%,65%
Persian indigo,https://en.wikipedia.org/wiki/Persian_blue#Persian_indigo,#32127A,20%,7%,48%,258°,74%,27%,85%,48%
Persian orange,https://en.wikipedia.org/wiki/Persian_orange,#D99058,85%,56%,35%,26°,63%,60%,59%,85%
Persian pink,https://en.wikipedia.org/wiki/Rose_(color)#Persian_pink,#F77FBE,97%,50%,75%,329°,88%,73%,49%,97%
Persian plum,https://en.wikipedia.org/wiki/Plum_(color)#Persian_plum_.28prune.29,#701C1C,44%,11%,11%,0°,60%,27%,75%,44%
Persian red,https://en.wikipedia.org/wiki/Persian_red,#CC3333,80%,20%,20%,0°,60%,50%,75%,80%
Persian rose,https://en.wikipedia.org/wiki/Rose_(color)#Persian_rose,#FE28A2,100%,16%,64%,326°,99%,58%,84%,100%
Persimmon,https://en.wikipedia.org/wiki/Shades_of_orange#Persimmon,#EC5800,93%,35%,0%,22°,100%,46%,100%,93%
Peru,https://en.wikipedia.org/wiki/Brown#Peru,#CD853F,80%,52%,25%,30°,59%,53%,69%,80%
Pewter Blue,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#8BA8B7,55%,66%,72%,200°,23%,63%,24%,72%
Phlox,https://en.wikipedia.org/wiki/Shades_of_purple#Psychedelic_purple_.28phlox.29,#DF00FF,87%,0%,100%,292°,100%,50%,100%,100%
Phthalo blue,https://en.wikipedia.org/wiki/Phthalocyanine_Blue_BN,#000F89,0%,6%,54%,233°,100%,27%,100%,54%
Phthalo green,https://en.wikipedia.org/wiki/Phthalocyanine_Green_G,#123524,7%,21%,14%,151°,49%,14%,66%,21%
Picton blue,https://en.wikipedia.org/wiki/Azure_(color)#Picton_blue,#45B1E8,27%,69%,91%,200°,78%,59%,70%,91%
Pictorial carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Pictorial_carmine,#C30B4E,76%,4%,31%,338°,89%,40%,94%,76%
Piggy pink,https://en.wikipedia.org/wiki/Variations_of_pink#Piggy_pink,#FDDDE6,99%,87%,90%,343°,89%,93%,13%,99%
Pine green,https://en.wikipedia.org/wiki/Shades_of_green#Pine_green,#01796F,0%,47%,44%,175°,98%,24%,99%,47%
Pineapple,https://en.wikipedia.org/wiki/Pineapple#Pineapple,#563C5C,34%,24%,5%,289°,74%,19%,35%,36%
Pink,https://en.wikipedia.org/wiki/Pink,#FFC0CB,100%,75%,80%,350°,100%,88%,25%,100%
Pink (Pantone),https://en.wikipedia.org/wiki/Variations_of_pink#Pink_.28Pantone.29,#D74894,84%,28%,58%,328°,64%,56%,67%,84%
Pink Flamingo,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#FC74FD,99%,45%,99%,300°,97%,72%,54%,99%
Pink lace,https://en.wikipedia.org/wiki/Shades_of_pink#Pink_lace,#FFDDF4,100%,87%,96%,319°,100%,93%,13%,100%
Pink lavender,https://en.wikipedia.org/wiki/Shades_of_pink#Pink_lavender,#D8B2D1,85%,70%,82%,311°,33%,77%,18%,85%
Pink-Orange,,#FF9966,100%,60%,40%,20°,100%,70%,60%,100%
Pink pearl,https://en.wikipedia.org/wiki/Pearl,#E7ACCF,91%,67%,81%,324°,55%,79%,26%,91%
Pink Raspberry,,#980036,60%,0%,21%,339°,100%,30%,100%,60%
Pink Sherbet,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,#F78FA7,97%,56%,65%,346°,87%,76%,42%,97%
Pistachio,https://en.wikipedia.org/wiki/Chartreuse_(color)#Pistachio,#93C572,58%,77%,45%,96°,42%,61%,42%,77%
Pixie Powder,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#391285,22%,7%,52%,260°,76%,30%,87%,52%
Platinum,https://en.wikipedia.org/wiki/Platinum_(color),#E5E4E2,90%,89%,89%,40°,5%,89%,1%,90%
Plum,https://en.wikipedia.org/wiki/Plum_(color),#8E4585,56%,27%,52%,307°,35%,41%,51%,56%
Plum (web),https://en.wikipedia.org/wiki/Plum_(color)#Pale_plum,#DDA0DD,87%,63%,87%,300°,47%,75%,28%,87%
Plump Purple,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#5946B2,35%,27%,70%,251°,44%,49%,61%,70%
Polished Pine,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#5DA493,36%,64%,58%,166°,28%,50%,43%,64%
Pomp and Power,https://en.wikipedia.org/wiki/Shades_of_purple#Pomp_and_Power,#86608E,53%,38%,56%,290°,19%,47%,32%,56%
Popstar,https://en.wikipedia.org/wiki/Red-violet#Popstar,#BE4F62,75%,31%,38%,350°,46%,53%,58%,75%
Portland Orange,https://en.wikipedia.org/wiki/Portland_Orange,#FF5A36,100%,35%,21%,11°,100%,61%,79%,100%
Powder blue,https://en.wikipedia.org/wiki/Powder_blue,#B0E0E6,69%,88%,90%,187°,52%,80%,23%,90%
Princess Perfume,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FF85CF,100%,52%,81%,324°,100%,76%,48%,100%
Princeton orange,https://en.wikipedia.org/wiki/Shades_of_orange#Princeton_orange,#F58025,96%,50%,15%,26°,91%,55%,85%,96%
Prune,https://en.wikipedia.org/wiki/Plum_(color)#Persian_plum_.28prune.29,#701C1C,44%,11%,11%,0°,60%,27%,75%,44%
Prussian blue,https://en.wikipedia.org/wiki/Prussian_blue,#003153,0%,19%,33%,205°,100%,16%,100%,33%
Psychedelic purple,https://en.wikipedia.org/wiki/Shades_of_purple#Psychedelic_purple_.28phlox.29,#DF00FF,87%,0%,100%,292°,100%,50%,100%,100%
Puce,https://en.wikipedia.org/wiki/Puce,#CC8899,80%,53%,60%,345°,40%,67%,33%,80%
Puce red,https://en.wikipedia.org/wiki/Puce#Puce_red,#722F37,45%,18%,22%,353°,42%,32%,59%,45%
Pullman Brown (UPS Brown),https://en.wikipedia.org/wiki/Brown#Business,#644117,39%,25%,9%,33°,63%,24%,77%,39%
Pullman Green,,#3B331C,23%,20%,11%,45°,36%,17%,36%,59%
Pumpkin,https://en.wikipedia.org/wiki/Pumpkin_(color),#FF7518,100%,46%,9%,24°,100%,55%,91%,100%
Purple (HTML),https://en.wikipedia.org/wiki/Purple#Purple_.28HTML.2FCSS_color.29_.28patriarch.29,#800080,50%,0%,50%,300°,100%,25%,100%,50%
Purple (Munsell),https://en.wikipedia.org/wiki/Shades_of_purple#Purple_.28Munsell.29,#9F00C5,62%,0%,77%,288°,100%,39%,100%,77%
Purple (X11),https://en.wikipedia.org/wiki/Shades_of_purple#Purple_.28X11_color.29_.28veronica.29,#A020F0,63%,13%,94%,277°,87%,53%,87%,94%
Purple Heart,https://en.wikipedia.org/wiki/Purple_Heart,#69359C,41%,21%,61%,270°,49%,41%,66%,61%
Purple mountain majesty,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_purple_.28purple_mountain_majesty.29,#9678B6,59%,47%,71%,269°,30%,59%,34%,71%
Purple navy,https://en.wikipedia.org/wiki/Navy_blue#Purple_navy,#4E5180,31%,32%,50%,236°,24%,40%,39%,50%
Purple pizzazz,https://en.wikipedia.org/wiki/Variations_of_magenta#Purple_pizzazz,#FE4EDA,100%,31%,85%,312°,99%,65%,69%,100%
Purple Plum,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#9C51B6,61%,32%,71%,285°,41%,52%,56%,71%
Purple taupe,https://en.wikipedia.org/wiki/Taupe#Purple_taupe,#50404D,31%,25%,30%,311°,11%,28%,20%,31%
Purpureus,https://en.wikipedia.org/wiki/Shades_of_purple#Purpureus,#9A4EAE,60%,31%,68%,288°,38%,49%,55%,68%
Quartz,https://en.wikipedia.org/wiki/Quartz,#51484F,32%,28%,31%,313°,6%,30%,11%,32%
Queen blue,https://en.wikipedia.org/wiki/Royal_blue#Queen_blue,#436B95,26%,42%,58%,211°,38%,42%,55%,58%
Queen pink,https://en.wikipedia.org/wiki/Variations_of_pink#Queen_pink,#E8CCD7,91%,80%,84%,336°,38%,85%,12%,91%
Quick Silver,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#A6A6A6,65%,65%,65%,0°,0%,65%,0%,65%
Quinacridone magenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Quinacridone_magenta,#8E3A59,56%,23%,35%,338°,42%,39%,59%,56%
Rackley,https://en.wikipedia.org/wiki/Rackley,#5D8AA8,36%,54%,66%,204°,30%,51%,45%,66%
Radical Red,https://en.wikipedia.org/wiki/Amaranth_(color)#Radical_red_.28bright_amaranth_pink.29,#FF355E,100%,21%,37%,348°,100%,60%,79%,100%
Raisin black,https://en.wikipedia.org/wiki/Raisin_black,#242124,14%,13%,14%,300°,4%,14%,8%,14%
Rajah,https://en.wikipedia.org/wiki/Saffron_(color)#Rajah,#FBAB60,98%,67%,38%,29°,95%,68%,62%,98%
Raspberry,https://en.wikipedia.org/wiki/Raspberry_(color),#E30B5D,89%,4%,36%,337°,91%,47%,95%,89%
Raspberry glace,https://en.wikipedia.org/wiki/Raspberry_(color)#Raspberry_glace,#915F6D,57%,37%,43%,343°,21%,47%,34%,57%
Raspberry pink,https://en.wikipedia.org/wiki/Raspberry_(color)#Raspberry_pink,#E25098,89%,31%,60%,330°,72%,60%,65%,89%
Raspberry rose,https://en.wikipedia.org/wiki/Raspberry_(color)#Raspberry_rose,#B3446C,70%,27%,42%,338°,45%,48%,62%,70%
Raw Sienna,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#D68A59,84%,54%,35%,24°,60%,59%,58%,84%
Raw umber,https://en.wikipedia.org/wiki/Umber#Raw_umber,#826644,51%,40%,27%,33°,31%,39%,48%,51%
Razzle dazzle rose,https://en.wikipedia.org/wiki/Rose_(color)#Razzle_dazzle_rose,#FF33CC,100%,20%,80%,315°,100%,60%,80%,100%
Razzmatazz,https://en.wikipedia.org/wiki/Rose_(color)#Razzmatazz,#E3256B,89%,15%,42%,338°,77%,52%,84%,89%
Razzmic Berry,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#8D4E85,55%,31%,52%,308°,29%,43%,45%,55%
Rebecca Purple,https://en.wikipedia.org/wiki/Eric_A._Meyer,#663399,40%,20%,60%,270°,49%,40%,67%,60%
Red,https://en.wikipedia.org/wiki/Red,#FF0000,100%,0%,0%,0°,100%,50%,100%,100%
Red (Crayola),https://en.wikipedia.org/wiki/Shades_of_red#Red_.28Crayola.29,#EE204D,93%,13%,30%,347°,86%,53%,87%,93%
Red (Munsell),https://en.wikipedia.org/wiki/Shades_of_red#Red_.28Munsell.29,#F2003C,95%,0%,24%,345°,100%,47%,100%,95%
Red (NCS),https://en.wikipedia.org/wiki/Shades_of_red#Red_.28NCS.29_.28psychological_primary_red.29,#C40233,77%,1%,20%,345°,98%,39%,99%,77%
Red (Pantone),https://en.wikipedia.org/wiki/Shades_of_red#Red_.28Pantone.29,#ED2939,93%,16%,22%,355°,84%,55%,83%,93%
Red (pigment),https://en.wikipedia.org/wiki/Shades_of_red#Pigment_red,#ED1C24,93%,11%,14%,358°,85%,52%,88%,93%
Red (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#FE2712,100%,15%,7%,5°,99%,53%,93%,100%
Red-brown,https://en.wikipedia.org/wiki/Brown#Red-brown_.28web_color_.22brown.22.29,#A52A2A,65%,16%,16%,0°,59%,41%,75%,65%
Red devil,https://en.wikipedia.org/wiki/Crimson#Red_devil,#860111,53%,0%,7%,353°,99%,26%,99%,53%
Red-orange,https://en.wikipedia.org/wiki/Vermilion#Red-orange,#FF5349,100%,33%,29%,3°,100%,64%,71%,100%
Red-purple,https://en.wikipedia.org/wiki/Red-violet#Red-purple,#E40078,89%,0%,47%,328°,100%,45%,100%,89%
Red Salsa,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FD3A4A,99%,23%,29%,355°,98%,61%,77%,99%
Red-violet,https://en.wikipedia.org/wiki/Red-violet,#C71585,78%,8%,52%,322°,81%,43%,89%,78%
Redwood,https://en.wikipedia.org/wiki/Redwood_(color),#A45A52,64%,35%,32%,6°,33%,48%,50%,64%
Regalia,https://en.wikipedia.org/wiki/Regalia,#522D80,32%,18%,50%,267°,48%,34%,65%,50%
Registration black,https://en.wikipedia.org/wiki/Rich_black,#000000,0%,0%,0%,—°,0%,0%,0%,0%
Resolution blue,https://en.wikipedia.org/wiki/Shades_of_blue#Resolution_blue,#002387,0%,14%,53%,224°,100%,26%,100%,53%
Rhythm,https://en.wikipedia.org/wiki/Blue-gray#Rhythm,#777696,47%,46%,59%,242°,13%,53%,21%,59%
Rich black,https://en.wikipedia.org/wiki/Rich_black,#004040,0%,25%,25%,180°,100%,13%,100%,25%
Rich black (FOGRA29),https://en.wikipedia.org/wiki/Rich_black,#010B13,0%,4%,7%,207°,90%,4%,95%,8%
Rich black (FOGRA39),https://en.wikipedia.org/wiki/Rich_black,#010203,0%,1%,1%,210°,50%,1%,67%,1%
Rich brilliant lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Rich_brilliant_lavender,#F1A7FE,95%,65%,100%,291°,98%,83%,34%,100%
Rich carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Rich_carmine,#D70040,84%,0%,25%,342°,100%,42%,100%,84%
Rich electric blue,https://en.wikipedia.org/wiki/Electric_blue_(color)#Rich_electric_blue,#0892D0,3%,57%,82%,199°,93%,42%,96%,82%
Rich lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Rich_Lavender_.28deep_floral_lavender.29,#A76BCF,65%,42%,81%,276°,51%,62%,48%,81%
Rich lilac,https://en.wikipedia.org/wiki/Lilac_(color)#Rich_lilac,#B666D2,71%,40%,82%,284°,55%,61%,51%,82%
Rich maroon,https://en.wikipedia.org/wiki/Maroon_(color)#Rich_maroon_.28maroon_.28X11.29.29,#B03060,69%,19%,38%,338°,57%,44%,73%,69%
Rifle green,https://en.wikipedia.org/wiki/Shades_of_green#Rifle_green,#444C38,27%,30%,22%,84°,15%,26%,26%,30%
Roast coffee,https://en.wikipedia.org/wiki/Coffee_(color)#Roast_coffee,#704241,44%,26%,25%,1°,27%,35%,42%,44%
Robin egg blue,https://en.wikipedia.org/wiki/Robin_egg_blue,#00CCCC,0%,80%,80%,180°,100%,40%,100%,80%
Rocket metallic,https://en.wikipedia.org/wiki/Variations_of_gray#Rocket_metallic,#8A7F80,54%,50%,50%,355°,4%,52%,8%,54%
Roman silver,https://en.wikipedia.org/wiki/Silver_(color)#Roman_silver,#838996,51%,54%,59%,221°,8%,55%,13%,59%
Rose,https://en.wikipedia.org/wiki/Rose_(color),#FF007F,100%,0%,50%,330°,100%,50%,100%,100%
Rose bonbon,https://en.wikipedia.org/wiki/Rose_(color)#Rose_bonbon,#F9429E,98%,26%,62%,330°,94%,62%,73%,98%
Rose Dust,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#9E5E6F,62%,37%,44%,344°,25%,49%,41%,62%
Rose ebony,https://en.wikipedia.org/wiki/Rose_(color)#Rose_ebony,#674846,40%,28%,27%,4°,19%,34%,32%,40%
Rose gold,https://en.wikipedia.org/wiki/Rose_(color)#Rose_Gold,#B76E79,72%,43%,47%,351°,34%,57%,40%,72%
Rose madder,https://en.wikipedia.org/wiki/Alizarin,#E32636,89%,15%,21%,355°,77%,52%,83%,89%
Rose pink,https://en.wikipedia.org/wiki/Rose_(color)#Rose_pink,#FF66CC,100%,40%,80%,320°,100%,70%,60%,100%
Rose quartz,https://en.wikipedia.org/wiki/Rose_(color)#Rose_quartz,#AA98A9,67%,60%,66%,303°,10%,63%,11%,67%
Rose red,https://en.wikipedia.org/wiki/Rose_(color)#Rose_red,#C21E56,76%,12%,34%,340°,73%,44%,85%,76%
Rose taupe,https://en.wikipedia.org/wiki/Taupe#Rose_taupe,#905D5D,56%,36%,36%,0°,22%,46%,35%,56%
Rose vale,https://en.wikipedia.org/wiki/Rose_(color)#Rose_vale,#AB4E52,67%,31%,32%,357°,37%,49%,54%,67%
Rosewood,https://en.wikipedia.org/wiki/Rose_(color)#Rosewood,#65000B,40%,0%,4%,353°,100%,20%,100%,40%
Rosso corsa,https://en.wikipedia.org/wiki/Rosso_corsa,#D40000,83%,0%,0%,0°,100%,42%,100%,83%
Rosy brown,https://en.wikipedia.org/wiki/Rose_(color)#Rosy_brown,#BC8F8F,74%,56%,56%,0°,25%,65%,24%,74%
Royal azure,https://en.wikipedia.org/wiki/Azure_(color)#Royal_azure,#0038A8,0%,22%,66%,220°,100%,33%,100%,66%
Royal blue,https://en.wikipedia.org/wiki/Royal_blue,#002366,0%,14%,40%,219°,100%,20%,100%,40%
Royal blue,https://en.wikipedia.org/wiki/Royal_blue,#4169E1,25%,41%,88%,225°,73%,57%,71%,88%
